area,MAE,MAPE%,n_test
1,607.8168861222788,18534.23257589067,14
2,640.3103275470171,8920.662335996196,13
3,552.9189727574262,22981.055660559694,17
4,400.8803063191132,5020.692864625523,14
5,386.5448979391286,10680.144421375528,14
6,378.7866592372946,105.13374457620506,12
7,513.1453226281249,3836.579807167273,13
8,534.4627862606841,14620.009339022672,15
9,350.9548274013146,10367.120066238856,14
10,408.9352130264602,7240.527574190895,15
11,420.5040025466877,6951.329786415697,15
12,612.8189151354683,4077.838804305513,13
13,586.5645441256574,1997.6482627984328,13
14,579.2892560257784,9967.64422584986,13
15,479.6397877878399,8002.571217842457,13
16,254.61191916119282,4942.249604018373,14
17,429.0944483408539,5024.524457844328,15
18,496.25652749734337,7238.410876042006,14
19,407.44264920037625,5681.361915739355,15
20,482.51301101281774,7019.03361750567,13
21,493.40983471623963,9255.133039971932,15
